project,summary,skills,key_features,concepts,project_type,github_url
CleanArchitecture,"A Clean Architecture Solution Template for ASP.NET Core, providing a straightforward and efficient approach to enterprise application development.","[""C#"", ""ASP.NET Core"", ""Entity Framework"", ""Angular"", ""React""]","[""Enterprise application development"", ""Web API""]","[""Clean Architecture"", ""REST API"", ""Web API""]",Template,https://github.com/jasontaylordev/CleanArchitecture
apollo-client,"Apollo Client is a GraphQL client for TypeScript, JavaScript, React, Vue, Angular, and more, delivering powerful caching, intuitive APIs, and comprehensive developer tools to accelerate app development.","[""TypeScript"", ""JavaScript"", ""React"", ""Vue"", ""Angular"", ""GraphQL""]","[""Powerful caching"", ""Intuitive APIs"", ""Comprehensive developer tools""]","[""GraphQL"", ""Caching""]",GraphQL Client,https://github.com/apollographql/apollo-client
sweetalert2,"A beautiful, responsive, highly customizable and accessible replacement for JavaScript's popup boxes. It has zero dependencies and supports various frameworks like React, Angular, and Vue. The project focuses on accessibility with WAI-ARIA compliance. It provides a range of functionalities including alerts, confirms, and prompts.","[""JavaScript""]","[""accessible popup boxes"", ""customizable"", ""responsive design"", ""zero dependencies""]","[""Accessibility (WAI-ARIA)""]",JavaScript Library,https://github.com/sweetalert2/sweetalert2
tinymce,"TinyMCE is the world's #1 JavaScript library for rich text editing, available for React, Vue, and Angular. It is a highly customizable, scalable, and flexible rich text editor used by millions of developers. With over 350M+ downloads every year, it is one of the most trusted enterprise-grade open source HTML editors. TinyMCE is built to scale and designed to innovate, delivering results to difficult edge-cases.","[""JavaScript"", ""TypeScript"", ""React"", ""Vue"", ""Angular""]","[""Rich text editing"", ""WYSIWYG editor"", ""Customizable"", ""Scalable""]","[""Content Editing"", ""WYSIWYG""]",Library,https://github.com/tinymce/tinymce
ag-grid,"A JavaScript data table for building enterprise applications, supporting React, Angular, Vue, and plain JavaScript. It offers features like filtering, grouping, pagination, pivoting, and sorting. The grid also supports charting and excel functionality. It is built using TypeScript.","[""JavaScript"", ""TypeScript"", ""React"", ""Angular"", ""Vue""]","[""Data Grid"", ""Table"", ""Filtering"", ""Grouping"", ""Pagination"", ""Pivoting"", ""Sorting"", ""Charting"", ""Excel functionality""]","[""Frontend Development"", ""Data Visualization""]",Data Grid Library,https://github.com/ag-grid/ag-grid
openproject,"OpenProject is a web-based open source project management software for teams and organizations. It provides features such as project planning, issue tracking, and team collaboration. OpenProject is designed for organizations looking for an open source alternative to tools like Jira and Asana. It offers transparency, flexibility, and data sovereignty.","[""Ruby"", ""Angular""]","[""Project Management"", ""Issue Tracking"", ""Gantt Chart"", ""Kanban"", ""Roadmap"", ""Team Collaboration""]","[""Project Management"", ""Agile Workflows"", ""Scrum""]",Project Management Software,https://github.com/opf/openproject
PeerTube,"PeerTube is a decentralized, federated video streaming platform that uses P2P technology to stream videos directly in the web browser. It allows users to follow video creators and create videos without vendor lock-in. The platform is community-owned and ad-free.","[""TypeScript"", ""Angular""]","[""Video streaming"", ""P2P technology"", ""Federated video hosting""]","[""Decentralized"", ""P2P"", ""Federation""]",Video streaming platform,https://github.com/Chocobozzz/PeerTube
abp,"The abp project is an open-source web application framework for ASP.NET Core, providing an opinionated architecture for building enterprise software solutions. It offers fundamental infrastructure, cross-cutting-concern implementations, and other tools for development. The framework supports best practices on top of the .NET ecosystem. It is designed for building modular, multi-tenant, and SaaS applications.","[""C#"", ""ASP.NET Core"", ""Angular"", ""Blazor""]","[""Modular architecture"", ""Multi-tenancy support"", ""SaaS support"", ""UI themes"", ""Tooling and documentation""]","[""Domain-Driven Design"", ""Microservices"", ""Modular-monolith""]",Web Application Framework,https://github.com/abpframework/abp
bootstrap,Native AngularJS directives for Bootstrap with a smaller footprint and no 3rd party JS dependencies. The project is feature-complete and no longer being maintained.,"[""JavaScript"", ""AngularJS"", ""Bootstrap""]","[""Native directives"", ""Smaller footprint"", ""No 3rd party JS dependencies""]","[""Frontend Development"", ""UI Components""]",Frontend Library,https://github.com/angular-ui/bootstrap
mitosis,"Mitosis is a framework that allows writing components once and compiling them to various frameworks such as React, Vue, and Angular. It supports multiple libraries and frameworks, enabling cross-platform compatibility. The project utilizes a declarative approach and supports no-code tools like Figma. It aims to provide a unified development experience across different frameworks.","[""TypeScript"", ""React"", ""Vue"", ""Angular"", ""Svelte"", ""Solid""]","[""Cross-framework compatibility"", ""Declarative component development"", ""Compilation to multiple frameworks""]","[""Compiler"", ""Declarative programming"", ""Cross-platform development""]",Frontend framework,https://github.com/BuilderIO/mitosis
codesandbox-client,"An online IDE for rapid web development, supporting various JavaScript frameworks such as React, Angular, and Vue. It provides a platform for developers to build and test web applications quickly. The project utilizes JavaScript as its primary programming language. It aims to simplify web development by offering a user-friendly interface.","[""JavaScript"", ""Angular"", ""Preact"", ""React"", ""Svelte"", ""Vue""]","[""Online IDE"", ""Rapid web development"", ""Multi-framework support""]","[""Web Development"", ""IDE""]",Web Development Tool,https://github.com/codesandbox/codesandbox-client
clients,"Bitwarden client apps for various platforms, including web, browser extension, desktop, and CLI. The project utilizes a range of technologies to provide secure password management solutions. It supports multiple browsers such as Chrome, Firefox, and Safari. The clients are built using modern web technologies.","[""TypeScript"", ""JavaScript"", ""Angular"", ""NodeJS"", ""Electron""]","[""Password Management"", ""Multi-Platform Support"", ""Browser Extension""]","[""Authentication"", ""Desktop Application"", ""Browser Extension"", ""CLI""]",Password Management Suite,https://github.com/bitwarden/clients
core,"A toolchain for building scalable, enterprise-ready component systems on top of TypeScript and Web Component standards. It allows for framework-agnostic codebase distribution to various frameworks like React, Angular, and Vue. The project utilizes Stencil for compiling Web Components. The goal is to enable native distribution to traditional web applications.","[""TypeScript"", ""Web Component"", ""React"", ""Angular"", ""Vue""]","[""Component systems"", ""Framework-agnostic codebase"", ""Native distribution""]","[""Web Components"", ""Static Site Generation"", ""Server-Side Rendering""]",Frontend Framework,https://github.com/stenciljs/core
angular-seed,"This project is an application skeleton for a typical AngularJS web app, providing a seed to quickly bootstrap Angular webapp projects and development environments. It contains a sample AngularJS application and is preconfigured with development and testing tools. The seed app demonstrates how to wire two controllers and views together.","[""JavaScript"", ""AngularJS"", ""Node.js"", ""npm""]","[""Sample AngularJS application"", ""Preconfigured development and testing tools""]","[""Frontend Development"", ""Web App""]",Web Application,https://github.com/angular/angular-seed
primeng,"PrimeNG is a rich set of open source UI Components for Angular, providing a wide range of components such as charts, datagrid, and datatable. It is built using TypeScript and is designed to be used with the Angular framework. The library offers a comprehensive set of features and tools for building complex user interfaces. PrimeNG is widely used in the development of web applications.","[""TypeScript"", ""Angular""]","[""UI Components"", ""Charts"", ""Datagrid"", ""Datatable""]","[""UI Components"", ""Frontend Development""]",UI Component Library,https://github.com/primefaces/primeng
